concept_a,concept_b,Course_Code,course_name,source_syllabus,ai_suggested_label,confirmed_label,reason,embedding_similarity,order_delta,keyword_overlap
"Generalization, Specialization and Aggregation","Integrity constraints: key constraints, Domain",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.239, delta=4, kw=0.000",0.2391,4,0.0
Basic and Feasible solutions,Lines of regression,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.157, delta=11, kw=0.000",0.1566,11,0.0
Kuhn-Tucker conditions,Application of congruence-RSA algorithm,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=-0.048 - no semantic relation,-0.0484,3,0.0
Introduction to Congruence,Moment generating function,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.055 - no semantic relation,0.0546,8,0.0
Introduction to Congruence,Fourier series of periodic,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=4, kw=0.000",0.1555,4,0.0
Relationship (EER) Model,"Integrity constraints: key constraints, Domain",2114112,Database Management System,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.203, delta=5, kw=0.000",0.2034,5,0.0
Regular operations,RE in text search and replace,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.178, delta=4, kw=0.000",0.178,4,0.0
Fourier series of even and odd functions,Moment generating function,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.176, delta=3, kw=0.000",0.1755,3,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Dirichlet’s conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=-0.055 - no semantic relation,-0.0551,13,0.0
Quality (Error Rate,Edge resource optimization,2166115,Nature- Inspired Optimization,SEM-V.pdf,0,,"No prereq signal: sim=0.176, delta=3, kw=0.000",0.176,3,0.0
Quadratic forms,Linear and Non-Linear Programming Problems,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=1, kw=0.000",0.161,1,0.0
Linear and Non-Linear Programming Problems,Linear congruence,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.134 - no semantic relation,0.1338,8,0.16666666666666666
Linear and Non-Linear Programming Problems,Fourier series of periodic,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.127 - no semantic relation,-0.127,11,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear and Non-Linear Programming Problems,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.202, delta=3, kw=0.143",0.2021,3,0.14285714285714285
Basic and Feasible solutions,Application of congruence-RSA algorithm,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.154, delta=6, kw=0.000",0.1536,6,0.0
Kuhn-Tucker conditions,Fourier series of even and odd functions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.002 - no semantic relation,0.0022,6,0.0
"Generalization, Specialization and Aggregation","Pitfalls in relational database designs, Concept",2494112,Database Management System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.295, delta=6, kw=0.000",0.2946,6,0.0
Flow Control: Stop-and-Wait Flow Control,Self-Study Topics,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.025 - no semantic relation,0.0248,8,0.0
Structure of a switch,Space Division Switching,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,Foundational kw in A + sim=0.313 + delta=1,0.3131,1,0.0
Simplex method,Application of congruence-RSA algorithm,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=5, kw=0.000",0.155,5,0.0
Go-Back-N ARQ,Random Access (ALOHA,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=0.120 - no semantic relation,0.1204,3,0.0
RE in text search and replace,Application of Regular,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,Low sim=0.137 - no semantic relation,0.1369,1,0.0
Standard and Canonical of LPP,Simplex method,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.166, delta=2, kw=0.000",0.1656,2,0.0
Basic and Feasible solutions,Linear congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.161, delta=5, kw=0.000",0.1608,5,0.0
"Generalization, Specialization and Aggregation","Integrity constraints: key constraints, Domain",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.239, delta=4, kw=0.000",0.2391,4,0.0
Self-Study Topics,IEEE 802.11 Wireless LAN,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=-0.015 - no semantic relation,-0.0155,2,0.0
Kuhn-Tucker conditions,Dirichlet’s conditions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.417, delta=4, kw=0.200",0.4166,4,0.2
C’s of DevOps Lifecycle for Business,"Agility, DevOps and Continuous Testing",2165113,Agile Software Development & DevOps,SEM-V.pdf,1,,sim=0.575>=0.45 + delta=1<=5,0.5748,1,0.09090909090909091
Similarity of matrices,Dirichlet’s conditions,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.013 - no semantic relation,-0.0128,12,0.0
RE in text search and replace,Languages in Compiler Design,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.009 - no semantic relation,0.0087,2,0.1111111111111111
Properties of Eigen,Kutta second Order method,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.078 - no semantic relation,0.0783,5,0.0
Size reduction equipment – Jaw crusher,"Hammer mill, Ball mill and Roll crusher",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.389,0.3894,1,0.1
Sedimentation: Batch sedimentation. Kynch,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.266,0.266,2,0.0
Linear congruence,Application of congruence-RSA algorithm,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,1,,sim=0.579>=0.45 + delta=1<=5,0.5786,1,0.16666666666666666
Similarity of matrices,Fourier series of periodic,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.001 - no semantic relation,0.0009,13,0.16666666666666666
Simplex method,Artificial variables,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.267,0.267,1,0.0
Application of congruence-RSA algorithm,Raw moments,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.032 - no semantic relation,0.0321,7,0.0
Open-source and Proprietary Operating System,Real-Time,2174113,Operating System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.283, delta=3, kw=0.000",0.2827,3,0.0
Introduction to Data Analytics,Background and Overview of Data,2166112,Data Analytics and Visualization,SEM-V.pdf,1,,sim=0.490>=0.45 + delta=1<=5,0.4901,1,0.125
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear congruence,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.284, delta=11, kw=0.083",0.2843,11,0.08333333333333333
Mixing equipment for cohesive solids,"Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.391, delta=9, kw=0.100",0.3905,9,0.1
Fourier series of even and odd functions,Moment generating function,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.176, delta=3, kw=0.000",0.1755,3,0.0
"Generalization, Specialization and Aggregation","Concurrent Executions, Serializability",2174112,Database Management System,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.255, delta=7, kw=0.000",0.2549,7,0.0
Mixers for free flowing solids: Ribbon,Gas solid separation equipment: Cyclone,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.322, delta=6, kw=0.000",0.3225,6,0.0
Linear congruence,Lines of regression,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.129 - no semantic relation,0.129,6,0.0
Pumping lemma,RE in text search and replace,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.168, delta=1, kw=0.000",0.1683,1,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Application of congruence-RSA algorithm,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.146 - no semantic relation,0.1457,12,0.06666666666666667
Applications of Swarm Intelligence in Machine,Algorithm  Bat Algorithm,2166111,Machine Learning and Swarm,SEM-V.pdf,1,,sim=0.501>=0.45 + delta=2<=5,0.5012,2,0.0
Self-Study Topics,HDLC Protocol,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,Low sim=-0.045 - no semantic relation,-0.0453,1,0.0
Linear congruence,Raw moments,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.016 - no semantic relation,-0.0164,8,0.0
Quadratic forms,Introduction to Congruence,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.217, delta=8, kw=0.000",0.2168,8,0.0
Regular operations,Application of Regular,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,,High sim=0.687 + delta=5,0.6872,5,0.25
Application of congruence-RSA algorithm,Moment generating function,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.180, delta=6, kw=0.000",0.1798,6,0.0
Linear congruence,Fourier series of periodic,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.197, delta=3, kw=0.000",0.1968,3,0.0
Special-purpose,Real-Time,2494113,Operating System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.277, delta=4, kw=0.000",0.2769,4,0.0
Linear and Non-Linear Programming Problems,Artificial variables,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.395, delta=5, kw=0.000",0.3948,5,0.0
Types of solutions,Kuhn-Tucker conditions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.189, delta=5, kw=0.000",0.1889,5,0.0
Quadratic forms,Kuhn-Tucker conditions,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.200, delta=7, kw=0.000",0.2002,7,0.0
Simplex method,Fourier series of even and odd functions,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.159, delta=8, kw=0.000",0.1592,8,0.0
Metrics: Measuring performance,Edge Systems: Application in feature selection,2166115,Nature- Inspired Optimization,SEM-V.pdf,0,,"No prereq signal: sim=0.194, delta=3, kw=0.000",0.1944,3,0.0
Fourier series of periodic,Lines of regression,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,Low sim=-0.003 - no semantic relation,-0.0031,3,0.16666666666666666
Quadratic forms,Linear congruence,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.282, delta=9, kw=0.000",0.2821,9,0.0
Types of solutions,Dirichlet’s conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.198, delta=9, kw=0.000",0.1982,9,0.0
Applications of Swarm Intelligence in Machine,Learning : Quantum,2166111,Machine Learning and Swarm,SEM-V.pdf,0,,"No prereq signal: sim=0.187, delta=3, kw=0.000",0.1873,3,0.0
Screening equipment – Vibrating screen,Storage of solids: Properties of particulate,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=-0.023 - no semantic relation,-0.0234,14,0.0
Linear and Non-Linear Programming Problems,Simplex method,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.223, delta=4, kw=0.000",0.2234,4,0.0
Regular operations,RE in text search and replace,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.178, delta=4, kw=0.000",0.178,4,0.0
"Hammer mill, Ball mill and Roll crusher","Conveying, of solids: Belt conveyer, bucket",2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.379, delta=11, kw=0.000",0.379,11,0.0
"Hammer mill, Ball mill and Roll crusher",Mixers for free flowing solids: Ribbon,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.284, delta=3, kw=0.000",0.2836,3,0.0
Open-source and Proprietary Operating System,Special-purpose Operating Systems,2494113,Operating System,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,1,,High sim=0.681 + delta=5,0.6814,5,0.1111111111111111
"Testing: Functionality Testing, UI Testing",Choosing the right DevOps tools and challenges,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.295, delta=8, kw=0.000",0.2951,8,0.0
Linear and Non-Linear Programming Problems,Standard and Canonical of LPP,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=2 + sim=0.250,0.2497,2,0.1111111111111111
Cayley-Hamilton,Dirichlet’s conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=-0.043 - no semantic relation,-0.0433,14,0.0
Application of Regular,Minimization of DFA,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,0,,"No prereq signal: sim=0.289, delta=4, kw=0.200",0.289,4,0.2
Common security threats in Blockchain,Emerging trends,2166118,Blockchain Technology,SEM-V.pdf,0,,"No prereq signal: sim=0.218, delta=3, kw=0.000",0.2184,3,0.0
Applying to chemical engineering problems related,Kutta second Order method,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.182, delta=2, kw=0.000",0.182,2,0.0
Method and Adam Bashford Predictor,Shift operator E,2073111,Chemical Engineering Mathematics,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,Low sim=0.119 - no semantic relation,0.1189,3,0.0
Fourier series of even and odd functions,Lines of regression,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=-0.005 - no semantic relation,-0.005,2,0.1111111111111111
Similarity of matrices,Quadratic forms,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.184, delta=1, kw=0.000",0.1835,1,0.0
Special-purpose,Open-source and Proprietary Operating System,2014113,Operating System,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.153, delta=1, kw=0.000",0.1526,1,0.0
System calls with examples for different OS,Features of I/O facility for different OS,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,sim=0.490>=0.45 + delta=5<=5,0.4898,5,0.25
CRC code,Scheduled Access (Reservation,2344113,Computer Network & Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.182, delta=5, kw=0.000",0.182,5,0.0
Study – Selenium/ Jira,Assessment. Study of various Open,2165113,Agile Software Development & DevOps,SEM-V.pdf,0,,"No prereq signal: sim=0.264, delta=6, kw=0.143",0.2642,6,0.14285714285714285
Dirichlet’s conditions,Fourier series of periodic,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=1, kw=0.000",0.1715,1,0.0
Application of Regular,Minimization of DFA,2024111,Computational,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.289, delta=4, kw=0.200",0.289,4,0.2
Linear and Non-Linear Programming Problems,Complex form of Fourier Series,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=-0.130 - no semantic relation,-0.13,13,0.0
Types of solutions,Kuhn-Tucker conditions,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.189, delta=5, kw=0.000",0.1889,5,0.0
Taxes and tax brackets,Vending machines,2173112,Discrete Structures and Graph Theory,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.047 - no semantic relation,0.0465,1,0.0
Regular operations,Languages in Compiler Design,2174111,Computational,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.205, delta=6, kw=0.000",0.2045,6,0.0
Languages in Compiler Design,Minimization of DFA,2114111,Computational,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,Low sim=0.146 - no semantic relation,0.146,3,0.0
Artificial variables,Moment generating function,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,Low sim=0.147 - no semantic relation,0.1467,10,0.0
Fourier series of even and odd functions (simple functions,Hal Frange Sine and Cosine Series,2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.389,0.3886,1,0.16666666666666666
"Optimization, Particle Swarm Optimizer , ABC",Learning : Quantum,2166111,Machine Learning and Swarm,SEM-V.pdf,0,,"No prereq signal: sim=0.185, delta=2, kw=0.000",0.1854,2,0.0
Lines of regression,Moment generating function,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=0.017 - no semantic relation,0.0172,1,0.0
Simplex method,Application of congruence-RSA algorithm,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,"No prereq signal: sim=0.155, delta=5, kw=0.000",0.155,5,0.0
Quadratic forms,Artificial variables,2013111,Mathematics for Computer Engineering,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.171, delta=6, kw=0.000",0.1713,6,0.0
Cayley-Hamilton,Linear and Non-Linear Programming Problems,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=-0.070 - no semantic relation,-0.0703,4,0.0
Quadratic forms,Introduction to Congruence,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.217, delta=8, kw=0.000",0.2168,8,0.0
Solid mixing – Introduction to solid mixing,Sedimentation: Batch sedimentation. Kynch,2074112,Solid Fluid Mechanical Operations,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.242, delta=7, kw=0.000",0.2418,7,0.0
Equivalence between NFA with and ϵ- transitions,Minimization of DFA,2494111,Computational,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,1,,Adjacent same-course topics: delta=1 + sim=0.419,0.4193,1,0.0
Regular operations,Decision properties of RLs,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.194, delta=2, kw=0.000",0.1942,2,0.0
Kar lPearson’s Coefficient of correlation(r) Spearman’s,"Advanced Engineering Mathematics, R.K. Jainand S.R.K. Iyengar, Narosapublication",2343111,Applied Mathematics Thinking-I,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.167, delta=2, kw=0.133",0.1671,2,0.13333333333333333
Quadratic forms,Basic and Feasible solutions,2483111,Mathematics for Computer Engineering,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.226, delta=4, kw=0.000",0.226,4,0.0
RE in text search and replace,Equivalence between NFA with and ϵ- transitions,2484111,Computational,6.41N-A-I-AI-DS-Sem-III-IV.pdf,0,,Low sim=0.034 - no semantic relation,0.0344,4,0.08333333333333333
Standard and Canonical of LPP,Artificial variables,2113111,Mathematics for Computer Engineering,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.160, delta=3, kw=0.000",0.1601,3,0.0
Fourier series of even and odd functions,Lines of regression,2023111,Mathematics for Computer Engineering,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,0,,Low sim=-0.005 - no semantic relation,-0.005,2,0.1111111111111111
Linear congruence,Fourier series of periodic,2173111,Mathematics for Computer Engineering,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,0,,"No prereq signal: sim=0.197, delta=3, kw=0.000",0.1968,3,0.0
