concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,suggested_label,reason
Kuhn-Tucker conditions,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,-0.0484,0.0,0,Low sim=-0.048
Kuhn-Tucker conditions,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.0302,0.0,0,Low sim=0.030
Kuhn-Tucker conditions,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.0022,0.0,0,Low sim=0.002
Kuhn-Tucker conditions,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.057,0.0,0,Low sim=0.057
Modular Arithmetic,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.6281,0.0,1,High sim=0.628 + delta=1
Modular Arithmetic,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.6376,0.0,1,High sim=0.638 + delta=2
Modular Arithmetic,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.5821,0.0,1,sim=0.582>=0.45 + delta=5<=5
Modular Arithmetic,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.1274,0.0,0,Low sim=0.127
Modular Arithmetic,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0528,0.0,0,Low sim=0.053
Modular Arithmetic,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.1296,0.0,0,Low sim=0.130
Introduction to Congruence,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.6781,0.25,1,High sim=0.678 + delta=1
Introduction to Congruence,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.6881,0.1429,1,High sim=0.688 + delta=4
Introduction to Congruence,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1214,0.0,0,Low sim=0.121
Introduction to Congruence,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0929,0.0,0,Low sim=0.093
Introduction to Congruence,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0916,0.0,0,Low sim=0.092
Introduction to Congruence,Statistical Techniques,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.1542,0.0,0,Far apart: delta=14 + sim=0.154
Linear congruence,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.5786,0.1667,1,sim=0.579>=0.45 + delta=3<=5
Linear congruence,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.1269,0.0,0,Low sim=0.127
Linear congruence,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0794,0.0,0,Low sim=0.079
Linear congruence,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0738,0.0,0,Low sim=0.074
Linear congruence,Statistical Techniques,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,-0.0002,0.0,0,Low sim=-0.000
Application of congruence-RSA algorithm,Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1098,0.0,0,Low sim=0.110
Application of congruence-RSA algorithm,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.0774,0.0909,0,Low sim=0.077
Application of congruence-RSA algorithm,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.1121,0.1111,0,Low sim=0.112
Application of congruence-RSA algorithm,Statistical Techniques,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.1927,0.0,0,No signal: sim=0.193 delta=10 kw=0.000
Application of congruence-RSA algorithm,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0278,0.1429,0,Low sim=0.028
Fourier Series,Fourier series of even and odd functions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.7312,0.2857,1,Lexical containment + delta=4
Fourier Series,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.7554,0.4,1,Lexical containment + delta=5
Fourier Series,Statistical Techniques,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1611,0.0,0,No signal: sim=0.161 delta=7 kw=0.000
Fourier Series,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0946,0.0,0,Low sim=0.095
Fourier Series,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.2224,0.0,0,Far apart: delta=14 + sim=0.222
Fourier series of even and odd functions,Complex form of Fourier Series,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.6314,0.3333,1,High sim=0.631 + delta=1
Fourier series of even and odd functions,Statistical Techniques,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1019,0.0,0,Low sim=0.102
Fourier series of even and odd functions,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,-0.005,0.1111,0,Low sim=-0.005
Fourier series of even and odd functions,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.1755,0.0,0,No signal: sim=0.176 delta=10 kw=0.000
Fourier series of even and odd functions,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0454,0.0,0,Low sim=0.045
Fourier series of even and odd functions,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0486,0.0,0,Low sim=0.049
Fourier series of even and odd functions,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.1065,0.0,0,Low sim=0.106
Complex form of Fourier Series,Statistical Techniques,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.1051,0.0,0,Low sim=0.105
Complex form of Fourier Series,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.0088,0.1429,0,Low sim=0.009
Complex form of Fourier Series,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.2589,0.0,0,No signal: sim=0.259 delta=9 kw=0.000
Complex form of Fourier Series,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0211,0.0,0,Low sim=0.021
Complex form of Fourier Series,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.1241,0.0,0,Low sim=0.124
Complex form of Fourier Series,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.115,0.0,0,Low sim=0.115
Statistical Techniques,Lines of regression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.3029,0.0,0,No signal: sim=0.303 delta=4 kw=0.000
Statistical Techniques,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1456,0.0,0,Low sim=0.146
Statistical Techniques,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.2129,0.0,0,No signal: sim=0.213 delta=8 kw=0.000
Statistical Techniques,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.1872,0.0,0,No signal: sim=0.187 delta=9 kw=0.000
Statistical Techniques,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.2314,0.0,0,No signal: sim=0.231 delta=10 kw=0.000
Lines of regression,Moment generating function,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.0172,0.0,0,Low sim=0.017
Lines of regression,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.0828,0.0,0,Low sim=0.083
Lines of regression,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.0969,0.0,0,Low sim=0.097
Lines of regression,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.1516,0.0,0,No signal: sim=0.152 delta=6 kw=0.000
Moment generating function,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.4099,0.0,1,Adjacent topics: delta=1 + sim=0.410
Moment generating function,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.3184,0.0,1,Adjacent topics: delta=2 + sim=0.318
Moment generating function,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.3543,0.0,0,No signal: sim=0.354 delta=3 kw=0.000
Raw moments,Poisson Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.1619,0.0,0,No signal: sim=0.162 delta=1 kw=0.000
Raw moments,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.211,0.0,1,Adjacent topics: delta=2 + sim=0.211
Poisson Distribution,Normal Distribution,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.4918,0.3333,1,sim=0.492>=0.45 + delta=1<=5
Regular operations,Regular Expression,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1,0.5542,0.3333,1,sim=0.554>=0.45 + delta=1<=5
Regular operations,Arden's theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1,0.2053,0.0,1,Adjacent topics: delta=2 + sim=0.205
Regular operations,Regular Language,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1,0.463,0.3333,1,sim=0.463>=0.45 + delta=3<=5
Regular operations,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1,0.2366,0.0,0,No signal: sim=0.237 delta=4 kw=0.000
Regular operations,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1,0.1942,0.0,0,No signal: sim=0.194 delta=5 kw=0.000
Regular operations,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1,0.1283,0.0,0,Low sim=0.128
Regular operations,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1,0.178,0.0,0,No signal: sim=0.178 delta=7 kw=0.000
Regular operations,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1,0.2045,0.0,0,No signal: sim=0.205 delta=9 kw=0.000
Regular operations,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1,0.2699,0.0,0,No signal: sim=0.270 delta=10 kw=0.000
Regular operations,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1,0.1915,0.0,0,No signal: sim=0.191 delta=11 kw=0.000
Regular operations,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,13,1,0.2046,0.0,0,Far apart: delta=13 + sim=0.205
Regular operations,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,14,1,0.0974,0.0,0,Low sim=0.097
Regular Expression,Arden's theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1,0.149,0.0,0,Low sim=0.149
Regular Expression,Regular Language,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1,0.61,0.3333,1,High sim=0.610 + delta=2
Regular Expression,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1,0.1251,0.0,0,Low sim=0.125
Regular Expression,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1,0.0792,0.0,0,Low sim=0.079
Regular Expression,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1,0.2392,0.0,0,No signal: sim=0.239 delta=5 kw=0.000
Regular Expression,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1,0.3946,0.0,0,No signal: sim=0.395 delta=6 kw=0.000
Regular Expression,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1,0.1574,0.0,0,No signal: sim=0.157 delta=8 kw=0.000
Regular Expression,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1,0.3603,0.0,0,No signal: sim=0.360 delta=9 kw=0.000
Regular Expression,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1,0.299,0.0,0,No signal: sim=0.299 delta=10 kw=0.000
Regular Expression,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,12,1,0.2177,0.0,0,Far apart: delta=12 + sim=0.218
Regular Expression,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,13,1,0.1447,0.0,0,Low sim=0.145
Arden's theorem,Regular Language,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1,0.1452,0.0,0,Low sim=0.145
Arden's theorem,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1,0.2196,0.0,1,Adjacent topics: delta=2 + sim=0.220
Arden's theorem,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1,0.0956,0.0,0,Low sim=0.096
Arden's theorem,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1,0.3108,0.0,0,No signal: sim=0.311 delta=4 kw=0.000
Arden's theorem,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1,0.0297,0.0,0,Low sim=0.030
Arden's theorem,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1,0.0519,0.0,0,Low sim=0.052
Arden's theorem,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1,-0.0167,0.0,0,Low sim=-0.017
Arden's theorem,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,9,1,0.0206,0.0,0,Low sim=0.021
Arden's theorem,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1,0.074,0.0,0,Low sim=0.074
Arden's theorem,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,12,1,0.1255,0.0,0,Low sim=0.125
Arden's theorem,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,14,1,0.0896,0.0,0,Low sim=0.090
Regular Language,Closure properties,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1,0.1607,0.0,0,No signal: sim=0.161 delta=1 kw=0.000
Regular Language,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1,0.1382,0.0,0,Low sim=0.138
Regular Language,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1,0.3847,0.0,0,No signal: sim=0.385 delta=3 kw=0.000
Regular Language,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,4,1,0.1966,0.0,0,No signal: sim=0.197 delta=4 kw=0.000
Regular Language,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,6,1,0.4872,0.0,0,No signal: sim=0.487 delta=6 kw=0.000
Regular Language,Text Processing,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,7,1,0.3593,0.0,0,No signal: sim=0.359 delta=7 kw=0.000
Regular Language,Natural Language Processing (NLP),6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,8,1,0.3957,0.2,0,No signal: sim=0.396 delta=8 kw=0.200
Regular Language,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,10,1,0.3418,0.0,0,No signal: sim=0.342 delta=10 kw=0.000
Regular Language,Equivalence between NFA with and ϵ- transitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,11,1,0.2235,0.0,0,No signal: sim=0.223 delta=11 kw=0.000
Regular Language,Minimization of DFA,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,13,1,0.3101,0.0,0,Far apart: delta=13 + sim=0.310
Closure properties,Decision properties of RLs,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,1,1,0.2896,0.2,1,Adjacent topics: delta=1 + sim=0.290
Closure properties,Pumping lemma,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,2,1,0.1373,0.0,0,Low sim=0.137
Closure properties,RE in text search and replace,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,3,1,0.018,0.0,0,Low sim=0.018
Closure properties,Languages in Compiler Design,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1,0.21,0.0,0,No signal: sim=0.210 delta=5 kw=0.000
