concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,suggested_label,reason
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,diagonalizable and non,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.3128,0.0769,1,Foundational kw + sim=0.313 + delta=2
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,diagonalizable matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.4661,0.0833,1,sim=0.466>=0.45 + delta=3<=5
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.3275,0.0,1,Foundational kw + sim=0.327 + delta=4
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.2021,0.1429,0,No signal: sim=0.202 delta=5 kw=0.143
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.0988,0.0769,0,Low sim=0.099
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1691,0.1429,0,No signal: sim=0.169 delta=7 kw=0.143
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.1148,0.0714,0,Low sim=0.115
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.0668,0.0,0,Low sim=0.067
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0631,0.0,0,Low sim=0.063
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.1524,0.0,0,No signal: sim=0.152 delta=11 kw=0.000
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0645,0.0556,0,Low sim=0.064
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.0964,0.0556,0,Low sim=0.096
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0919,0.0,0,Low sim=0.092
Similarity of matrices,diagonalizable and non,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.2617,0.0,1,Adjacent topics: delta=1 + sim=0.262
Similarity of matrices,diagonalizable matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.4739,0.25,1,sim=0.474>=0.45 + delta=2<=5
Similarity of matrices,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1835,0.0,0,No signal: sim=0.184 delta=3 kw=0.000
Similarity of matrices,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.0555,0.0,0,Low sim=0.056
Similarity of matrices,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.0718,0.2,0,Low sim=0.072
Similarity of matrices,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.0275,0.1429,0,Low sim=0.027
Similarity of matrices,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.057,0.0,0,Low sim=0.057
Similarity of matrices,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,-0.0151,0.0,0,Low sim=-0.015
Similarity of matrices,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,-0.0342,0.0,0,Low sim=-0.034
Similarity of matrices,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0153,0.0,0,Low sim=0.015
Similarity of matrices,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0454,0.0,0,Low sim=0.045
Similarity of matrices,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,-0.0814,0.1,0,Low sim=-0.081
Similarity of matrices,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,-0.0045,0.0,0,Low sim=-0.004
Similarity of matrices,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0595,0.0,0,Low sim=0.060
diagonalizable and non,diagonalizable matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.8077,0.25,1,High sim=0.808 + delta=1
diagonalizable and non,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.2664,0.0,1,Adjacent topics: delta=2 + sim=0.266
diagonalizable and non,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.0474,0.3333,1,kw_overlap=0.333 + delta=3<=6
diagonalizable and non,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.0799,0.0,0,Low sim=0.080
diagonalizable and non,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1415,0.1429,0,Low sim=0.141
diagonalizable and non,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.1687,0.1667,0,No signal: sim=0.169 delta=6 kw=0.167
diagonalizable and non,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.0449,0.0,0,Low sim=0.045
diagonalizable and non,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,-0.0464,0.0,0,Low sim=-0.046
diagonalizable and non,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.033,0.0,0,Low sim=0.033
diagonalizable and non,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0175,0.1,0,Low sim=0.018
diagonalizable and non,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0192,0.0,0,Low sim=0.019
diagonalizable and non,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0099,0.0,0,Low sim=0.010
diagonalizable and non,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.0336,0.0,0,Low sim=0.034
diagonalizable and non,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.1718,0.0,0,Far apart: delta=14 + sim=0.172
diagonalizable matrices,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.2272,0.0,1,Adjacent topics: delta=1 + sim=0.227
diagonalizable matrices,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.0399,0.0,0,Low sim=0.040
diagonalizable matrices,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.044,0.0,0,Low sim=0.044
diagonalizable matrices,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.1002,0.0,0,Low sim=0.100
diagonalizable matrices,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1555,0.0,0,No signal: sim=0.155 delta=5 kw=0.000
diagonalizable matrices,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.0369,0.0,0,Low sim=0.037
diagonalizable matrices,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,-0.0304,0.0,0,Low sim=-0.030
diagonalizable matrices,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.0082,0.0,0,Low sim=0.008
diagonalizable matrices,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,-0.0925,0.0,0,Low sim=-0.093
diagonalizable matrices,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,-0.0361,0.0,0,Low sim=-0.036
diagonalizable matrices,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0319,0.0,0,Low sim=0.032
diagonalizable matrices,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,-0.0009,0.0,0,Low sim=-0.001
diagonalizable matrices,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.163,0.0,0,Far apart: delta=13 + sim=0.163
diagonalizable matrices,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0453,0.0,0,Low sim=0.045
Quadratic forms,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.161,0.0,0,No signal: sim=0.161 delta=1 kw=0.000
Quadratic forms,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.2615,0.0,1,Adjacent topics: delta=2 + sim=0.262
Quadratic forms,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1094,0.0,0,Low sim=0.109
Quadratic forms,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.226,0.0,0,No signal: sim=0.226 delta=4 kw=0.000
Quadratic forms,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1713,0.0,0,No signal: sim=0.171 delta=5 kw=0.000
Quadratic forms,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.1256,0.0,0,Low sim=0.126
Quadratic forms,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1793,0.0,0,No signal: sim=0.179 delta=7 kw=0.000
Quadratic forms,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.1879,0.0,0,No signal: sim=0.188 delta=8 kw=0.000
Quadratic forms,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.2009,0.0,0,No signal: sim=0.201 delta=9 kw=0.000
Quadratic forms,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.1713,0.0,0,No signal: sim=0.171 delta=10 kw=0.000
Quadratic forms,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.2002,0.0,0,No signal: sim=0.200 delta=11 kw=0.000
Quadratic forms,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.1974,0.0,0,Far apart: delta=12 + sim=0.197
Quadratic forms,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.2168,0.0,0,Far apart: delta=13 + sim=0.217
Quadratic forms,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.2821,0.0,0,Far apart: delta=14 + sim=0.282
Linear and Non-Linear Programming Problems,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.2528,0.0,1,Adjacent topics: delta=1 + sim=0.253
Linear and Non-Linear Programming Problems,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.2497,0.1111,1,Adjacent topics: delta=2 + sim=0.250
Linear and Non-Linear Programming Problems,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.575,0.125,1,sim=0.575>=0.45 + delta=3<=5
Linear and Non-Linear Programming Problems,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.3422,0.0,0,No signal: sim=0.342 delta=4 kw=0.000
Linear and Non-Linear Programming Problems,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.3212,0.0,0,No signal: sim=0.321 delta=5 kw=0.000
Linear and Non-Linear Programming Problems,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.2234,0.0,0,No signal: sim=0.223 delta=6 kw=0.000
Linear and Non-Linear Programming Problems,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.3582,0.0833,0,No signal: sim=0.358 delta=7 kw=0.083
Linear and Non-Linear Programming Problems,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.2818,0.0,0,No signal: sim=0.282 delta=8 kw=0.000
Linear and Non-Linear Programming Problems,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.3948,0.0,0,No signal: sim=0.395 delta=9 kw=0.000
Linear and Non-Linear Programming Problems,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.2473,0.0,0,No signal: sim=0.247 delta=10 kw=0.000
Linear and Non-Linear Programming Problems,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,-0.022,0.0,0,Low sim=-0.022
Linear and Non-Linear Programming Problems,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,-0.0405,0.0,0,Low sim=-0.041
Linear and Non-Linear Programming Problems,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.1338,0.1667,0,Low sim=0.134
Linear and Non-Linear Programming Problems,reminder theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,-0.0024,0.0,0,Low sim=-0.002
Types of solutions,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.1217,0.1429,0,Low sim=0.122
Types of solutions,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.479,0.1667,1,sim=0.479>=0.45 + delta=2<=5
Types of solutions,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1371,0.0,0,Low sim=0.137
Types of solutions,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.1914,0.0,0,No signal: sim=0.191 delta=4 kw=0.000
Types of solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.1297,0.0,0,Low sim=0.130
Types of solutions,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.2067,0.0,0,No signal: sim=0.207 delta=6 kw=0.000
Types of solutions,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.2495,0.1,0,No signal: sim=0.250 delta=7 kw=0.100
Types of solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.2761,0.0,1,Foundational kw + sim=0.276 + delta=8
Types of solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.1889,0.0,0,No signal: sim=0.189 delta=9 kw=0.000
Types of solutions,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0625,0.0,0,Low sim=0.062
Types of solutions,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.0776,0.0,0,Low sim=0.078
Types of solutions,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.1037,0.0,0,Low sim=0.104
Types of solutions,reminder theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.002,0.0,0,Low sim=0.002
Types of solutions,solving polynomials,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.3871,0.0,0,Far apart: delta=14 + sim=0.387
Standard and Canonical of LPP,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.224,0.125,1,Adjacent topics: delta=1 + sim=0.224
Standard and Canonical of LPP,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.1287,0.0,0,Low sim=0.129
Standard and Canonical of LPP,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.1194,0.0,0,Low sim=0.119
Standard and Canonical of LPP,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.1656,0.0,0,No signal: sim=0.166 delta=4 kw=0.000
Standard and Canonical of LPP,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.3162,0.0833,0,No signal: sim=0.316 delta=5 kw=0.083
Standard and Canonical of LPP,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.074,0.0833,0,Low sim=0.074
Standard and Canonical of LPP,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.1601,0.0,0,No signal: sim=0.160 delta=7 kw=0.000
Standard and Canonical of LPP,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,8,1,0.0818,0.0,0,Low sim=0.082
Standard and Canonical of LPP,Modular Arithmetic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,9,1,0.0227,0.0,0,Low sim=0.023
Standard and Canonical of LPP,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,10,1,0.0827,0.0,0,Low sim=0.083
Standard and Canonical of LPP,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,11,1,0.1686,0.0,0,No signal: sim=0.169 delta=11 kw=0.000
Standard and Canonical of LPP,reminder theorem,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,12,1,0.0362,0.0,0,Low sim=0.036
Standard and Canonical of LPP,solving polynomials,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,13,1,0.0035,0.0,0,Low sim=0.004
Standard and Canonical of LPP,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,14,1,0.0824,0.1111,0,Low sim=0.082
Basic and Feasible solutions,slack variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,1,1,0.3459,0.0,1,Foundational kw + sim=0.346 + delta=1
Basic and Feasible solutions,surplus variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,2,1,0.3137,0.0,1,Foundational kw + sim=0.314 + delta=2
Basic and Feasible solutions,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,3,1,0.33,0.0,1,Foundational kw + sim=0.330 + delta=3
Basic and Feasible solutions,NLPP with one and two equality constraint (two or,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,4,1,0.3783,0.0909,1,Foundational kw + sim=0.378 + delta=4
Basic and Feasible solutions,three variables) using the method of Lagrange’s,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,5,1,0.2981,0.0,1,Foundational kw + sim=0.298 + delta=5
Basic and Feasible solutions,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,6,1,0.4269,0.0,1,Foundational kw + sim=0.427 + delta=6
Basic and Feasible solutions,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for,7,1,0.2568,0.0,1,Foundational kw + sim=0.257 + delta=7
