concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
understand declarative programming concepts,Guidelines for Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.07,10,1,0.0,0,lab_or_project_course,lab_or_project_course
forecasting techniques such as Monte Carlo,The Agile,2165113,Agile Software,SEM-V.pdf,0.1656,7,1,0.0,0,truncated_fragment,truncated_fragment
adding images to,text formatting,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.117,7,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Implement Prim’s and Kruskal’s algorithms,distinct numbers using backtracking,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2483,5,1,0.0,0,publisher_citation,publisher_citation; lab_or_project_course
learning Topics: Case Studies on AI in,"Applications Using Hyperledger Fabric”, BPB Publications",2166118,Blockchain,SEM-V.pdf,0.0776,13,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
"First International Edition, Prentice Hall","Craig Larman, Agile and Iterative Development: A Manager’s Guide, Addison",2165113,Agile Software,SEM-V.pdf,0.1576,7,1,0.0,0,publisher_citation,publisher_citation
"learning implementation of concurrency, Streams","Students' hall submits an implementation plan in the form of a Gantt/PERT/CPM chart, which will cover the weekly",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2323,7,1,0.0909,0,length_bound,length_bound; subject_mismatch; lab_or_project_course
"DevOps: Introduction, DevOps - Importance",Hill International Publication,2165113,Agile Software,SEM-V.pdf,0.091,14,1,0.0,0,publisher_citation,publisher_citation
"polar coordinates, conformal mapping, linear, bilinear","mapping,  cross  ratio,  fixed  points,  and  standard",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3276,1,1,0.0833,1,subject_mismatch,subject_mismatch
Clarity in written and oral communication,List of Sample Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0475,6,1,0.0,0,person_name,person_name; lab_or_project_course
(b) must be from any other Module randomly selected from all the modules),(b) must be from any other Module,2165113,Agile Software,SEM-V.pdf,0.7916,12,1,0.5833,1,truncated_fragment,truncated_fragment; subject_mismatch
Text Books,"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”",2165113,Agile Software,SEM-V.pdf,0.2521,3,1,0.0,0,publisher_citation,publisher_citation
linking model and view,and mobile-first design principles,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1036,9,1,0.125,0,truncated_fragment,truncated_fragment; lab_or_project_course
Mapping HTTP methods to,Understanding Request Mapping,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5878,2,1,0.1667,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
"Functional for processing input (filters, parsers)",b. File Organizer Script,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0407,1,1,0.0,0,lab_or_project_course,lab_or_project_course
Preferably in C++ to demonstrate concepts like,"handling and Garbage collection, preferably in",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2061,6,1,0.1818,0,person_name,person_name; truncated_fragment; lab_or_project_course
A total of Four questions need to be answered,"modules. For example, if Q.2 has part (a) from Module 3 then part",2165113,Agile Software,SEM-V.pdf,0.1914,10,1,0.0476,0,admin_rubric_noise,admin_rubric_noise
Overview of Data Structures: Revision of basic data structures (arrays,Introduction to Analysis of Algorithms Fundamentals of the analysis of algorithms: Time and Space,2343112,Advance Data,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3244,2,1,0.0625,1,truncated_fragment,truncated_fragment
Creating REST Controllers in Spring Boot,Controllers and Services- Role of Controller in MVC,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.48,5,1,0.1667,1,subject_mismatch,subject_mismatch; lab_or_project_course
Image Handling & Forms: Understand image roles,CSS3 Fundamentals: Explore CSS syntax,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1607,7,1,0.0,0,person_name,person_name; lab_or_project_course
"DevOps: Dive, , Packt, 2018",(b) must be from any other Module randomly selected from all the modules),2165113,Agile Software,SEM-V.pdf,0.0282,13,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment; subject_mismatch
"Oriented Programming, Concurrency & More",Object Oriented,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6393,8,1,0.2,1,lab_or_project_course,lab_or_project_course
Introduction to logistic regression for classification Logit,Self- learning Topics: Explore Advance Regression,2166120,Visualization Lab,SEM-V.pdf,0.4095,2,1,0.0833,1,lab_or_project_course,lab_or_project_course
IA will consist of Two Compulsory Internal Assessment Tests. Each test will be,will be compulsory and should cover maximum contents of the syllabus,2165113,Agile Software,SEM-V.pdf,0.4566,5,1,0.2105,1,admin_rubric_noise,admin_rubric_noise
making and automation using AI agents in,"smart contracts, AI in Crypto Trading, Anti",2166118,Blockchain,SEM-V.pdf,0.3894,1,1,0.1667,1,truncated_fragment,truncated_fragment
(only up to s3 in denominator),Inverse Laplace transform using Convolution theorem,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2033,1,1,0.0,1,truncated_fragment,truncated_fragment
Part (a) and Part (b) of each question must be from different,"modules, with each sub",2165113,Agile Software,SEM-V.pdf,0.2435,8,1,0.0714,0,truncated_fragment,truncated_fragment
"Analytic function, necessary and sufficient conditions for",Riemann equations in,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2699,7,1,0.0,0,truncated_fragment,truncated_fragment
Network Operating System,Architecture and,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2905,1,1,0.0,1,truncated_fragment,truncated_fragment
o Quality of Project report & Project Review,Quality of survey/ need identification,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3188,14,1,0.2222,0,lab_or_project_course,lab_or_project_course
Self-learning Topics: Memory Management for any,one Operating System,2344112,Operating System,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1291,1,1,0.0,0,admin_rubric_noise,admin_rubric_noise
The review/ progress monitoring committee shall be constituted by the head of departments of each institute,o Quality of Project report & Project Review,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3942,8,1,0.1111,0,length_bound,length_bound; publisher_citation; lab_or_project_course
f(z) when real (u)or imaginary part (v) is given,Riemann equations in,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3229,3,1,0.0,0,truncated_fragment,truncated_fragment
Implementation of Ford-Fulkerson algorithm,Text Books and References,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0401,11,1,0.0,0,lab_or_project_course,lab_or_project_course
Data Exploration and Anamoly Detection,Types of time series: univariate and multivariate,2166120,Visualization Lab,SEM-V.pdf,0.1054,11,1,0.0909,0,lab_or_project_course,lab_or_project_course
"Chandramouli Subramanian, Asha A. Georgeet al., “Blockchain Technology”, Universities","Imran Bashir, “Mastering Blockchain: Inner Workings of Blockchain, Cryptocurrencies &",2166118,Blockchain,SEM-V.pdf,0.5522,7,1,0.0625,0,publisher_citation,publisher_citation
Creating REST Controllers in Spring Boot,Defining Controllers in Spring Boot,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.827,6,1,0.5714,1,subject_mismatch,subject_mismatch; lab_or_project_course
"learning topics: Total probability theorem, Bayes’",Note: No questions will be asked in the end,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1902,2,1,0.0,0,publisher_citation,publisher_citation
Construct Binary Search Tree for given sequence of,Implement Prim’s and Kruskal’s algorithms,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2738,11,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation; lab_or_project_course
in DevOps Implementation. Mapping App to,Mike Cohn – Agile Estimating and Planning (Pearson),2165113,Agile Software,SEM-V.pdf,0.1042,14,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
Self-learning Topics: Derogatory and non,Self-learning Topics: Application of Residue,2344111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5794,5,1,0.3333,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
"environment and Basic operators, types, prelude",conditional expression,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1578,9,1,0.0,0,person_name,person_name; lab_or_project_course
Introduction to Java EE- Need for Java EE in enterprise applications,Data management,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3439,3,1,0.0,1,lab_or_project_course,lab_or_project_course
(2) Solve any three questions out of five,Part (a) and Part (b) of each question must be from different,2165113,Agile Software,SEM-V.pdf,0.5347,2,1,0.0556,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Explain the physical and logical design of IoT with suitable examples. Illustrate the,"Differentiate between wired (UART, SPI, I²C) and wireless (NFC, RFID, Bluetooth",2166121,Internet of Things,SEM-V.pdf,0.3571,5,1,0.0455,1,truncated_fragment,truncated_fragment
Oriented Programming (OOP),"Use classes for Books, Users, Transactions",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2927,2,1,0.0,1,person_name,person_name; lab_or_project_course
Implementation of operations on B/B+-trees,Implementation of Ford-Fulkerson algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3396,12,1,0.2222,0,lab_or_project_course,lab_or_project_course
Q1: Describe the Proof,Q1: What is the role of Gas in Ethereum transactions?,2166126,Blockchain,SEM-V.pdf,0.3514,5,1,0.1667,0,admin_rubric_noise,admin_rubric_noise
and basic understanding of facts and rules,Prolog programs to,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2342,2,1,0.0,1,truncated_fragment,truncated_fragment; lab_or_project_course
and remaining 40% to 50% of syllabus content must be covered in Second IA Test,"must be from different modules. For example, if Q.2 has part (a) from Module 3 then part",2165113,Agile Software,SEM-V.pdf,0.2198,5,1,0.069,0,truncated_fragment,truncated_fragment; length_bound
Societal impact,experience of more than five years approved by head of Institution,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0448,10,1,0.0,0,publisher_citation,publisher_citation; subject_mismatch; lab_or_project_course
design by Don Norman,Design with VR,2165115,User Experience,SEM-V.pdf,0.3442,6,1,0.1667,1,publisher_citation,publisher_citation
"Metaverse, Cryptocurrency wallets: Hot and cold",case studies,2166118,Blockchain,SEM-V.pdf,0.1339,9,1,0.0,0,person_name,person_name; truncated_fragment; generic_lone_term
Assessment. Study of various Open,"Deepak Gaikwad, Viral Thakkar. DevOps Tools from Practitioner's Viewpoint",2165113,Agile Software,SEM-V.pdf,0.1924,12,1,0.0,0,publisher_citation,publisher_citation
b. Sudoku Solver (Prolog),Script to organize files into folders based on type,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0904,7,1,0.0,0,lab_or_project_course,lab_or_project_course
and mobile-first design principles,text formatting,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0957,9,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
function and odds ratio Model fitting and interpretation,Anomaly Detection: Outliers,2166120,Visualization Lab,SEM-V.pdf,0.0864,5,1,0.0,0,lab_or_project_course,lab_or_project_course
"to students for C, C++, JAVA along with how to","Finalization, Inheritance, Polymorphism and",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2185,6,1,0.0,0,truncated_fragment,truncated_fragment; person_name; lab_or_project_course
using Haskell,and basic understanding of facts and rules,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1304,2,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
will be compulsory and should cover maximum contents of the syllabus,University of Mumbai,2165113,Agile Software,SEM-V.pdf,0.3155,5,1,0.0769,0,admin_rubric_noise,admin_rubric_noise
Object Oriented,Students should understand checked and unchecked,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1558,9,1,0.0,0,person_name,person_name; admin_rubric_noise; lab_or_project_course
b. File Organizer Script,Script to organize files into folders based on type,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.583,1,1,0.0833,1,lab_or_project_course,lab_or_project_course
"learning Topics: CI/CD pipelines, cloud","based DevOps tools, and real",2165113,Agile Software,SEM-V.pdf,0.4275,1,1,0.0,1,truncated_fragment,truncated_fragment
Control Statements,Data management,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2221,7,1,0.0,0,lab_or_project_course,lab_or_project_course
Quality of survey/ need identification,Clarity of Problem definition based on need,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2645,1,1,0.2,1,lab_or_project_course,lab_or_project_course
Similarity of matrices,NLPP with one and two equality constraint (two or,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0454,11,1,0.0,0,truncated_fragment,truncated_fragment
Implementation of Bellman-Ford algorithm,Implement Travelling salesman problem,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4416,2,1,0.0,1,lab_or_project_course,lab_or_project_course
"smart contracts, AI in Crypto Trading, Anti","Dr. Asharaf S. & Sivadas Neelima, “Blockchain Technology: Algorithms and",2166118,Blockchain,SEM-V.pdf,0.3904,6,1,0.0,0,publisher_citation,publisher_citation; truncated_fragment
"however, focus shall be on self",Students shall convert the best solution into a working model using various components of their domain areas and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1233,3,1,0.0435,0,truncated_fragment,truncated_fragment; length_bound; admin_rubric_noise; subject_mismatch; lab_or_project_course
"wallets, Cryptocurrency usage, Transactions in","Blockchain, UTXO and double spending problem",2166118,Blockchain,SEM-V.pdf,0.3345,1,1,0.0,1,truncated_fragment,truncated_fragment
(1)Question 1 is compulsory,"Question 1 is compulsory, and it should include sub",2165113,Agile Software,SEM-V.pdf,0.8425,9,1,0.4444,1,admin_rubric_noise,admin_rubric_noise
+ 5 Marks (Attendance),Practical & Oral Exam: An Oral & Practical exam will be held based on the above syllabus,2166121,Internet of Things,SEM-V.pdf,0.2473,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise; length_bound
pattern matching,Implement at least,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.231,13,1,0.0,0,lab_or_project_course,lab_or_project_course
Models on Blockchain: decentralized AI,"like Supply chain, Healthcare, Energy, Education",2166118,Blockchain,SEM-V.pdf,0.1651,4,1,0.0,0,person_name,person_name
No side effects in logic layer,based system using functions only (no classes),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.095,6,1,0.0833,0,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Question Paper will comprise of a total of six questions each carrying 15  marks. Q.1,University of Mumbai,2165113,Agile Software,SEM-V.pdf,0.1154,6,1,0.0588,0,admin_rubric_noise,admin_rubric_noise
marks. Approximately 40% to 50% of syllabus content must be covered in First IA Test,and remaining 40% to 50% of syllabus content must be covered in Second IA Test,2165113,Agile Software,SEM-V.pdf,0.8893,1,1,0.6667,1,truncated_fragment,truncated_fragment
Interfacing LED/Buzzer/ Motion Sensor (PIR)/ ultrasonic sensor using a,Based Light Intensity Monitoring System using LDR and any,2166121,Internet of Things,SEM-V.pdf,0.4345,2,1,0.0588,1,truncated_fragment,truncated_fragment
Residual analysis,Extension of simple linear,2166120,Visualization Lab,SEM-V.pdf,0.2411,1,1,0.0,1,subject_mismatch,subject_mismatch; lab_or_project_course
Implement Merge sort and Quicksort for the given list of,In-order and Post-order,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2712,8,1,0.0769,0,truncated_fragment,truncated_fragment; person_name; subject_mismatch; lab_or_project_course
In-order and Post-order,Implement solution for job sequencing with deadlines,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2688,10,1,0.0,0,person_name,person_name; lab_or_project_course
Sliding Window,MAC address and its types,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.065,11,1,0.0,0,person_name,person_name
and hyperlinks. Responsive Web Design: Learn to build websites,and mobile-first design principles,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5055,3,1,0.1667,1,truncated_fragment,truncated_fragment; lab_or_project_course
Students shall be motivated to publish a paper based on the work in Conferences/students competitions,Expense Tracker App (Java or Python),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0431,10,1,0.0,0,admin_rubric_noise,admin_rubric_noise; subject_mismatch; lab_or_project_course
Learning and,Self-Learning : Support Vector Regression and,2166111,Machine,SEM-V.pdf,0.458,6,1,0.3333,1,truncated_fragment,truncated_fragment; admin_rubric_noise
"HTML 5, CSS 3 with Bootstrap HTML Basics & Structure: Learn HTML5 structure, semantic",document spacing,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2632,2,1,0.0,1,lab_or_project_course,lab_or_project_course
"role of sensors, actuators, and IoT boards such as Arduino, NodeMCU, and",highlighting key layers and their responsibilities,2166121,Internet of Things,SEM-V.pdf,0.1303,9,1,0.0625,0,tool_fragment,tool_fragment; truncated_fragment; person_name
on DevOps adoption and automation practices,Mike Cohn – Agile Estimating and Planning (Pearson),2165113,Agile Software,SEM-V.pdf,0.2009,8,1,0.0833,0,truncated_fragment,truncated_fragment; publisher_citation
"OOP for structuring code (User, Bot, ChatSession)",Follow MVC pattern optionally,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0157,8,1,0.0,0,lab_or_project_course,lab_or_project_course
Implement Prim’s and Kruskal’s algorithms,Implement Floyd Warshall Algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4064,11,1,0.1111,0,publisher_citation,publisher_citation; lab_or_project_course
